Category: All categories

Month,Canadian Indian residential school system: (Canada),Indigenous peoples in Canada: (Canada),aboriginal: (Canada)
2004-01,6,48,78
2004-02,10,40,78
2004-03,7,38,99
2004-04,9,37,72
2004-05,5,38,77
2004-06,3,37,73
2004-07,1,25,57
2004-08,3,22,57
2004-09,3,29,66
2004-10,7,43,82
2004-11,12,52,100
2004-12,4,31,63
2005-01,6,32,65
2005-02,6,37,76
2005-03,7,36,83
2005-04,7,33,76
2005-05,5,33,60
2005-06,7,33,71
2005-07,2,20,43
2005-08,3,22,48
2005-09,4,28,65
2005-10,7,35,73
2005-11,11,40,87
2005-12,6,26,53
2006-01,4,30,66
2006-02,7,34,76
2006-03,7,33,70
2006-04,6,27,63
2006-05,7,28,61
2006-06,6,30,64
2006-07,3,19,44
2006-08,3,17,34
2006-09,3,22,51
2006-10,6,24,63
2006-11,7,31,66
2006-12,5,18,42
2007-01,6,20,48
2007-02,6,25,55
2007-03,8,24,59
2007-04,7,24,54
2007-05,6,24,54
2007-06,6,32,65
2007-07,3,16,37
2007-08,7,14,33
2007-09,10,20,46
2007-10,11,27,56
2007-11,11,27,65
2007-12,7,16,41
2008-01,8,20,52
2008-02,7,23,55
2008-03,8,24,54
2008-04,9,22,55
2008-05,7,20,51
2008-06,15,24,56
2008-07,5,15,39
2008-08,2,12,35
2008-09,4,19,46
2008-10,7,24,56
2008-11,8,25,59
2008-12,6,17,37
2009-01,7,20,47
2009-02,6,22,53
2009-03,8,25,54
2009-04,9,19,49
2009-05,6,21,47
2009-06,6,22,51
2009-07,3,13,32
2009-08,2,13,28
2009-09,4,18,42
2009-10,6,21,47
2009-11,8,23,54
2009-12,6,14,34
2010-01,6,18,47
2010-02,5,20,54
2010-03,8,24,53
2010-04,7,19,47
2010-05,5,19,42
2010-06,5,24,48
2010-07,3,11,27
2010-08,2,9,23
2010-09,3,15,37
2010-10,5,17,43
2010-11,6,21,51
2010-12,4,12,31
2011-01,5,15,38
2011-02,5,17,42
2011-03,6,21,48
2011-04,7,16,39
2011-05,5,16,38
2011-06,5,24,45
2011-07,2,12,28
2011-08,2,11,28
2011-09,3,16,37
2011-10,7,19,44
2011-11,8,25,52
2011-12,5,17,32
2012-01,5,17,42
2012-02,6,19,45
2012-03,6,21,45
2012-04,7,17,41
2012-05,6,18,41
2012-06,6,24,48
2012-07,2,11,26
2012-08,2,10,25
2012-09,4,15,35
2012-10,6,17,43
2012-11,7,22,47
2012-12,5,14,34
2013-01,6,22,45
2013-02,7,19,43
2013-03,8,19,45
2013-04,7,18,42
2013-05,6,16,38
2013-06,5,24,45
2013-07,4,11,27
2013-08,2,10,23
2013-09,5,15,36
2013-10,7,19,44
2013-11,9,19,47
2013-12,6,13,31
2014-01,7,17,41
2014-02,6,19,45
2014-03,11,19,45
2014-04,9,18,42
2014-05,7,19,42
2014-06,6,27,52
2014-07,3,14,29
2014-08,2,12,28
2014-09,5,17,42
2014-10,8,20,46
2014-11,9,19,49
2014-12,6,15,34
2015-01,9,18,46
2015-02,8,19,46
2015-03,8,21,50
2015-04,8,20,45
2015-05,9,17,41
2015-06,17,31,58
2015-07,3,12,31
2015-08,2,10,26
2015-09,6,16,40
2015-10,9,22,51
2015-11,11,23,55
2015-12,9,16,36
2016-01,10,18,46
2016-02,9,20,52
2016-03,9,22,52
2016-04,12,20,48
2016-05,11,20,43
2016-06,11,32,59
2016-07,3,12,28
2016-08,2,11,24
2016-09,9,16,39
2016-10,15,19,46
2016-11,13,20,50
2016-12,9,14,33
2017-01,11,17,39
2017-02,10,18,43
2017-03,14,21,47
2017-04,13,17,39
2017-05,12,18,39
2017-06,12,38,62
2017-07,5,14,27
2017-08,5,10,22
2017-09,12,14,32
2017-10,14,18,38
2017-11,16,19,40
2017-12,9,13,25
2018-01,13,14,32
2018-02,10,18,38
2018-03,13,17,36
2018-04,13,16,32
2018-05,13,16,32
2018-06,12,25,41
2018-07,4,10,20
2018-08,7,10,20
2018-09,17,15,30
2018-10,17,16,33
2018-11,15,17,32
2018-12,10,12,22
2019-01,13,14,29
2019-02,11,14,27
2019-03,12,15,28
2019-04,12,14,26
2019-05,12,15,26
2019-06,14,20,30
