Category: All categories

Month,Canadian Indian residential school system: (Canada),residential schools: (Canada)
2004-01,34,22
2004-02,59,30
2004-03,41,37
2004-04,51,48
2004-05,29,23
2004-06,18,37
2004-07,3,5
2004-08,19,14
2004-09,19,32
2004-10,40,25
2004-11,66,51
2004-12,26,21
2005-01,32,28
2005-02,34,33
2005-03,40,25
2005-04,38,35
2005-05,32,26
2005-06,40,26
2005-07,13,12
2005-08,17,16
2005-09,24,14
2005-10,38,27
2005-11,61,47
2005-12,35,26
2006-01,24,22
2006-02,38,26
2006-03,43,31
2006-04,36,38
2006-05,39,36
2006-06,34,29
2006-07,18,15
2006-08,17,8
2006-09,15,12
2006-10,34,32
2006-11,42,23
2006-12,27,14
2007-01,35,20
2007-02,32,27
2007-03,44,41
2007-04,43,27
2007-05,35,28
2007-06,34,19
2007-07,19,11
2007-08,40,14
2007-09,55,25
2007-10,62,30
2007-11,61,41
2007-12,40,24
2008-01,44,24
2008-02,42,23
2008-03,44,26
2008-04,52,38
2008-05,39,26
2008-06,89,53
2008-07,28,16
2008-08,12,8
2008-09,26,19
2008-10,41,25
2008-11,46,30
2008-12,33,23
2009-01,40,26
2009-02,35,25
2009-03,44,30
2009-04,50,35
2009-05,37,29
2009-06,36,31
2009-07,15,12
2009-08,13,6
2009-09,21,15
2009-10,33,28
2009-11,45,36
2009-12,33,25
2010-01,35,28
2010-02,29,21
2010-03,44,31
2010-04,39,32
2010-05,29,21
2010-06,31,23
2010-07,15,10
2010-08,10,7
2010-09,20,15
2010-10,27,20
2010-11,37,31
2010-12,24,20
2011-01,28,21
2011-02,32,23
2011-03,35,26
2011-04,38,27
2011-05,28,25
2011-06,26,19
2011-07,13,9
2011-08,12,11
2011-09,18,16
2011-10,38,26
2011-11,49,40
2011-12,28,24
2012-01,30,25
2012-02,34,25
2012-03,35,27
2012-04,39,31
2012-05,34,32
2012-06,32,23
2012-07,14,11
2012-08,13,8
2012-09,21,18
2012-10,32,24
2012-11,42,36
2012-12,29,24
2013-01,36,27
2013-02,39,29
2013-03,47,35
2013-04,43,35
2013-05,34,27
2013-06,28,19
2013-07,21,15
2013-08,9,6
2013-09,32,21
2013-10,38,30
2013-11,49,38
2013-12,34,26
2014-01,42,33
2014-02,36,27
2014-03,61,46
2014-04,50,42
2014-05,42,36
2014-06,35,30
2014-07,17,11
2014-08,13,8
2014-09,30,21
2014-10,47,33
2014-11,52,32
2014-12,37,31
2015-01,51,35
2015-02,48,33
2015-03,49,39
2015-04,48,38
2015-05,50,37
2015-06,100,71
2015-07,18,12
2015-08,13,10
2015-09,35,24
2015-10,49,35
2015-11,66,51
2015-12,53,42
2016-01,58,46
2016-02,50,36
2016-03,55,40
2016-04,69,52
2016-05,61,44
2016-06,63,44
2016-07,19,12
2016-08,13,9
2016-09,52,37
2016-10,84,59
2016-11,77,58
2016-12,54,40
2017-01,65,50
2017-02,59,44
2017-03,79,66
2017-04,75,55
2017-05,67,51
2017-06,68,51
2017-07,30,20
2017-08,28,17
2017-09,68,49
2017-10,83,58
2017-11,91,67
2017-12,54,43
2018-01,74,52
2018-02,60,44
2018-03,74,52
2018-04,76,55
2018-05,72,57
2018-06,71,52
2018-07,24,15
2018-08,42,29
2018-09,95,67
2018-10,100,75
2018-11,86,64
2018-12,55,39
2019-01,75,54
2019-02,63,48
2019-03,66,46
2019-04,70,51
2019-05,71,57
2019-06,82,61
